gene,title,score,e_value,identities,align_length
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",33.0,1.30943,21,24
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",33.0,1.30943,18,19
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",32.0,1.30943,16,16
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,4.57037,17,18
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,4.57037,20,23
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,4.57037,17,18
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,4.57037,20,23
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,4.57037,20,23
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,4.57037,20,23
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,4.57037,15,15
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,4.57037,24,30
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,4.57037,15,15
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,4.57037,18,20
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,4.57037,15,15
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,4.57037,15,15
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,4.57037,15,15
PprA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,4.57037,21,25
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",242.0,1.58497e-57,378,545
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",37.0,0.130447,29,36
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",35.0,0.455306,52,72
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",33.0,1.58917,21,24
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",33.0,1.58917,18,19
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",33.0,1.58917,18,19
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",33.0,1.58917,27,34
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",33.0,1.58917,24,29
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",33.0,1.58917,18,19
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",32.0,1.58917,16,16
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",32.0,1.58917,19,21
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",32.0,1.58917,22,26
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",32.0,1.58917,16,16
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",32.0,1.58917,19,21
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,5.54676,17,18
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,5.54676,17,18
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,5.54676,20,22
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,5.54676,22,25
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,5.54676,17,18
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,5.54676,31,39
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,5.54676,20,23
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,5.54676,17,18
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",31.0,5.54676,20,22
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,15,15
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,15,15
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,18,20
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,21,25
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,18,20
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,15,15
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,15,15
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,18,20
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,15,15
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,18,20
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,15,15
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,26,32
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,15,15
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,18,20
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,18,20
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,15,15
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,18,20
RecA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",30.0,5.54676,15,15
DdrA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",37.0,0.0737737,25,28
DdrA,"gi|1346221182|gb|CP026923.1| Pontimonas salivibrio strain CL-TW6 chromosome, complete genome",35.0,0.257495,28,35
