gene,title,score,e_value,identities,align_length
PprA,"gi|324316040|gb|CP002537.1| Deinococcus proteolyticus MRP plasmid pDEIPR01, complete sequence",41.0,0.0144484,25,27
PprA,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",41.0,0.0144484,25,28
PprA,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",41.0,0.0144484,22,23
RecA,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",1298.0,0.0,881,1035
RecA,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",44.0,0.00144099,25,27
RecA,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",41.0,0.0175549,22,23
RecA,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",40.0,0.0175549,36,46
DdrA,"gi|324316631|gb|CP002540.1| Deinococcus proteolyticus MRP plasmid pDEIPR04, complete sequence",41.0,0.00991159,25,28
DdrA,"gi|324316040|gb|CP002537.1| Deinococcus proteolyticus MRP plasmid pDEIPR01, complete sequence",41.0,0.00991159,25,28
DdrA,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",41.0,0.00991159,22,23
DdrA,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",38.0,0.0345949,27,31
DdrA,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",38.0,0.0345949,24,26
DdrB,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",408.0,1.15796e-102,341,431
DdrB,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",40.0,0.00894182,41,54
DdrB,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",39.0,0.03121,24,27
DdrB,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",38.0,0.03121,25,29
DdrB,"gi|324316295|gb|CP002538.1| Deinococcus proteolyticus MRP plasmid pDEIPR02, complete sequence",339.0,1.1589900000000001e-83,323,420
DdrB,"gi|324316040|gb|CP002537.1| Deinococcus proteolyticus MRP plasmid pDEIPR01, complete sequence",42.0,0.00256187,24,26
DdrC,"gi|324314064|gb|CP002536.1| Deinococcus proteolyticus MRP, complete genome",369.0,1.0299699999999999e-91,354,467
