gene,title,score,e_value,identities,align_length
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",35.0,0.436295,19,20
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",35.0,0.436295,19,20
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",32.0,1.52282,19,21
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",31.0,5.31516,17,18
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",31.0,5.31516,17,18
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",31.0,5.31516,17,18
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",30.0,5.31516,15,15
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",30.0,5.31516,15,15
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",30.0,5.31516,15,15
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",30.0,5.31516,15,15
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",30.0,5.31516,15,15
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",30.0,5.31516,15,15
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",30.0,5.31516,18,20
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",30.0,5.31516,20,22
PprA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",30.0,5.31516,20,22
PprA,"gi|470484147|ref|NR_076632.1| Thermococcus gammatolerans strain EJ3 23S ribosomal RNA gene, complete sequence",30.0,5.31516,20,22
RecA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",39.0,0.0435143,21,22
RecA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",39.0,0.0435143,24,27
RecA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",37.0,0.15188,32,41
RecA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",35.0,0.530112,19,20
RecA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",34.0,0.530112,39,51
RecA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",34.0,0.530112,17,17
RecA,"gi|239909610|gb|CP001398.1| Thermococcus gammatolerans EJ3, complete genome",33.0,1.85027,21,24
