gene,title,score,e_value,identities,align_length
PprA,"gi|1012291606|gb|CP014867.1| Pseudomonas chlororaphis isolate 189, complete genome",52,0.0108898,43,53
PprA,"gi|758845968|gb|CP010892.1| Pseudomonas sp. MRSN12121, complete genome",52,0.0108898,46,58
PprA,"gi|647802220|gb|CP008696.1| Pseudomonas chlororaphis strain PA23, complete genome",50,0.0380093,45,57
RecA,"gi|410696020|gb|CP003249.1| Thermus oshimai JL-2, complete genome",597,2.89642e-150,670,915
RecA,"gi|1105531595|dbj|AP017920.1| Thermus thermophilus DNA, complete genome, strain: TMY",577,7.77218e-145,661,901
RecA,"gi|383508497|gb|CP003252.1| Thermus thermophilus JL-18, complete genome",570,3.30481e-143,656,898
RecA,"gi|333965676|gb|CP002777.1| Thermus thermophilus SG0.5JP17-16, complete genome",565,1.40524e-141,655,898
RecA,gi|119668705|emb|AM406670.1| Azoarcus olearius strain BH72 genome assembly,520,1.23268e-129,647,895
RecA,"gi|933519261|gb|CP012401.1| Azospirillum thiophilum strain BV-S chromosome 1, complete sequence",517,1.50171e-128,577,776
RecA,"gi|1021448326|gb|CP014963.1| Geobacter anodireducens strain SD-1 chromosome, complete genome",493,4.90911e-122,675,956
RecA,"gi|938485835|gb|CP012914.1| Azospirillum brasilense strain Sp 7 chromosome, complete sequence",492,4.90911e-122,549,737
RecA,"gi|646255953|gb|CP007793.1| Azospirillum brasilense strain Az39, complete genome",469,1.6048e-115,482,639
RecA,"gi|1022528561|gb|CP015377.1| Pseudomonas aeruginosa strain BAMCPA07-48 chromosome, complete genome",467,5.6013e-115,634,888
RecA,"gi|1847250123|dbj|AP022810.1| Desulfuromonas sp. AOP6 DNA, complete genome",466,5.6013e-115,625,881
RecA,"gi|1021079766|dbj|AP017424.1| Streptomyces laurentii DNA, complete genome, strain: ATCC 31255",466,5.6013e-115,569,783
RecA,"gi|1044641851|gb|CP011857.1| Pseudomonas aeruginosa strain ATCC 27853, complete genome",463,6.82377e-114,632,887
RecA,"gi|1016892938|gb|CP015117.1| Pseudomonas aeruginosa strain ATCC 27853 chromosome, complete genome",463,6.82377e-114,632,887
RecA,"gi|974311447|gb|CP008863.1| Pseudomonas aeruginosa strain M37351 chromosome, complete genome",463,6.82377e-114,632,887
RecA,gi|817624209|gb|CP011369.1| Pseudomonas aeruginosa strain S04 90 chromosome,463,6.82377e-114,632,887
RecA,"gi|974341323|gb|CP008868.1| Pseudomonas aeruginosa strain T63266 chromosome, complete genome",458,8.31306e-113,631,887
RecA,"gi|974335511|gb|CP008867.1| Pseudomonas aeruginosa strain T52373 chromosome, complete genome",458,8.31306e-113,631,887
RecA,"gi|881079720|gb|CP012066.1| Pseudomonas aeruginosa strain F9676, complete genome",458,8.31306e-113,631,887
RecA,"gi|745838743|gb|CP007399.1| Pseudomonas aeruginosa strain F22031, complete genome",458,8.31306e-113,631,887
RecA,"gi|674252391|gb|CP008739.2| Pseudomonas aeruginosa VRFPA04, complete genome",458,8.31306e-113,631,887
RecA,"gi|563408818|gb|CP006853.1| Pseudomonas aeruginosa MTB-1, complete genome",458,8.31306e-113,631,887
RecA,"gi|1169601839|gb|CP014866.1| Pseudomonas aeruginosa strain PA_154197 chromosome, complete genome",453,3.5348e-111,630,887
RecA,"gi|974282928|gb|CP008861.1| Pseudomonas aeruginosa strain H47921 chromosome, complete genome",453,3.5348e-111,630,887
RecA,"gi|974255378|gb|CP008857.1| Pseudomonas aeruginosa strain F30658 chromosome, complete genome",453,3.5348e-111,630,887
RecA,"gi|970332569|gb|CP013696.1| Pseudomonas aeruginosa strain 12-4-4(59) chromosome, complete genome",453,3.5348e-111,630,887
RecA,"gi|927993303|gb|CP012679.1| Pseudomonas aeruginosa strain PA1RG chromosome, complete genome",453,3.5348e-111,630,887
RecA,"gi|927226644|gb|CP004054.2| Pseudomonas aeruginosa PA1, complete genome",453,3.5348e-111,630,887
RecA,"gi|861670927|gb|CP012001.1| Pseudomonas aeruginosa DSM 50071, complete genome",453,3.5348e-111,630,887
RecA,"gi|815968487|gb|CP011317.1| Pseudomonas aeruginosa strain Carb01 63, complete genome",453,3.5348e-111,630,887
RecA,"gi|751373101|gb|CP010555.1| Pseudomonas aeruginosa strain FRD1, complete genome",453,3.5348e-111,630,887
RecA,gi|589338112|gb|CP006985.1| Pseudomonas aeruginosa LESlike4 sequence,453,3.5348e-111,630,887
RecA,gi|589332184|gb|CP006984.1| Pseudomonas aeruginosa LESlike1 chromosome,453,3.5348e-111,630,887
RecA,gi|589326231|gb|CP006983.1| Pseudomonas aeruginosa LESB65 sequence,453,3.5348e-111,630,887
