gene,title,score,e_value,identities,align_length
PprA,"gi|1012291606|gb|CP014867.1| Pseudomonas chlororaphis isolate 189, complete genome",52,0.0108898,43,53
PprA,"gi|1012291606|gb|CP014867.1| Pseudomonas chlororaphis isolate 189, complete genome",44,1.6162,22,22
PprA,"gi|1012291606|gb|CP014867.1| Pseudomonas chlororaphis isolate 189, complete genome",42,5.64108,31,37
PprA,"gi|758845968|gb|CP010892.1| Pseudomonas sp. MRSN12121, complete genome",52,0.0108898,46,58
PprA,"gi|758845968|gb|CP010892.1| Pseudomonas sp. MRSN12121, complete genome",47,0.463048,38,45
PprA,"gi|758845968|gb|CP010892.1| Pseudomonas sp. MRSN12121, complete genome",44,1.6162,22,22
PprA,"gi|758845968|gb|CP010892.1| Pseudomonas sp. MRSN12121, complete genome",42,5.64108,31,37
PprA,"gi|647802220|gb|CP008696.1| Pseudomonas chlororaphis strain PA23, complete genome",50,0.0380093,45,57
PprA,"gi|647802220|gb|CP008696.1| Pseudomonas chlororaphis strain PA23, complete genome",44,1.6162,22,22
PprA,"gi|647802220|gb|CP008696.1| Pseudomonas chlororaphis strain PA23, complete genome",42,5.64108,31,37
PprA,"gi|1066925896|gb|CP011972.2| Pseudomonas syringae pv. actinidiae ICMP 18884, complete genome",49,0.132665,29,32
PprA,"gi|1057920376|gb|CP012179.1| Pseudomonas syringae pv. actinidiae ICMP 18708, complete genome",49,0.132665,29,32
PprA,"gi|927283541|gb|CP005970.1| Pseudomonas syringae UMAF0158, complete genome",49,0.132665,46,59
PprA,"gi|927283541|gb|CP005970.1| Pseudomonas syringae UMAF0158, complete genome",46,0.463048,29,33
PprA,"gi|984703981|gb|CP013861.1| Pseudomonas fragi strain P121 chromosome, complete genome",48,0.132665,35,41
PprA,"gi|1021079766|dbj|AP017424.1| Streptomyces laurentii DNA, complete genome, strain: ATCC 31255",47,0.463048,33,38
PprA,"gi|1021079766|dbj|AP017424.1| Streptomyces laurentii DNA, complete genome, strain: ATCC 31255",46,0.463048,34,40
PprA,"gi|1021079766|dbj|AP017424.1| Streptomyces laurentii DNA, complete genome, strain: ATCC 31255",45,1.6162,27,30
PprA,"gi|1021079766|dbj|AP017424.1| Streptomyces laurentii DNA, complete genome, strain: ATCC 31255",44,1.6162,32,38
PprA,"gi|1021079766|dbj|AP017424.1| Streptomyces laurentii DNA, complete genome, strain: ATCC 31255",43,5.64108,35,44
PprA,"gi|1021079766|dbj|AP017424.1| Streptomyces laurentii DNA, complete genome, strain: ATCC 31255",43,5.64108,23,24
PprA,"gi|807234606|gb|CP011256.1| Xanthomonas arboricola strain 17, complete genome",47,0.463048,28,31
PprA,"gi|807234606|gb|CP011256.1| Xanthomonas arboricola strain 17, complete genome",44,1.6162,42,54
PprA,"gi|692342259|gb|CP009533.1| Pseudomonas rhizosphaerae strain DSM 16299, complete genome",47,0.463048,31,35
PprA,"gi|692336178|gb|CP009290.1| Pseudomonas chlororaphis subsp. aurantiaca strain JD37, complete genome",47,0.463048,42,53
PprA,"gi|692336178|gb|CP009290.1| Pseudomonas chlororaphis subsp. aurantiaca strain JD37, complete genome",44,1.6162,22,22
PprA,"gi|692336178|gb|CP009290.1| Pseudomonas chlororaphis subsp. aurantiaca strain JD37, complete genome",42,5.64108,31,37
PprA,"gi|1044517319|gb|CP016380.1| Aeromonas hydrophila strain AHNIH1, complete genome",46,0.463048,33,39
PprA,"gi|1044517319|gb|CP016380.1| Aeromonas hydrophila strain AHNIH1, complete genome",43,5.64108,26,29
PprA,"gi|975025465|gb|CP013965.1| Aeromonas hydrophila strain D4 chromosome, complete genome",46,0.463048,33,39
PprA,"gi|973430823|gb|CP007518.2| Aeromonas hydrophila YL17, complete genome",46,0.463048,33,39
PprA,"gi|970580326|gb|CP013183.1| Pseudomonas syringae pv. lapsa strain ATCC 10859 chromosome, complete genome",46,0.463048,29,33
PprA,"gi|958617326|gb|CP013178.1| Aeromonas hydrophila strain JBN2301 chromosome, complete genome",46,0.463048,33,39
PprA,"gi|827370414|gb|CP006870.1| Aeromonas hydrophila NJ-35, complete genome",46,0.463048,33,39
PprA,"gi|785807861|gb|CP011100.1| Aeromonas hydrophila strain AH10, complete genome",46,0.463048,33,39
